iso3,country_name,population_2018_thousands,mean_protein_pct_EAR,pct_inadequate_protein,pct_inadequate_protein_quality_adj
,World,7575436,244.97,3.93,5
,East Asia & Pacific,2307038,274.74,3.61,3.66
,Europe & Central Asia,912942,269.5,1.06,1.06
,Latin America & Caribbean,624656,275.43,5.84,5.88
,Middle East & North Africa,460509,269.18,2.84,3.5
,North America,369802,255.65,0.91,0.91
,South Asia,1828298,185.42,2.2,5.72
,Sub-Saharan Africa,1072189,229.73,10.38,11.56
AFG,Afghanistan,35957,244.59,0.12,0.53
ALB,Albania,2861,237.53,1.39,1.39
DZA,Algeria,41899,284.79,0.13,0.13
AGO,Angola,30630,163.43,3.03,7.22
ATG,Antigua & Barbuda,90,244.78,0.43,0.43
ARG,Argentina,44152,275.97,0.23,0.23
ARM,Armenia,2871,363.95,0.02,0.02
AUS,Australia,25005,238.88,0.82,0.82
AUT,Austria,8776,219.73,0.31,0.31
AZE,Azerbaijan,9939,379.89,0.01,0.01
BHS,Bahamas,389,186.52,16.75,16.75
BHR,Bahrain,1472,294.47,0.6,0.6
BGD,Bangladesh,160973,194.46,0.9,3.1
BRB,Barbados,278,180.56,3.55,3.55
BLR,Belarus,9376,237.72,8.39,8.39
BEL,Belgium,11339,317.04,0,0
BLZ,Belize,375,229.16,1.35,1.35
BEN,Benin,12119,216.72,18.11,18.78
BTN,Bhutan,753,217.29,17.5,22.88
BOL,Bolivia,11338,185.87,26.39,26.39
BIH,Bosnia & Herzegovina,3338,259.55,0.3,0.3
BWA,Botswana,2258,322.56,0.11,0.11
BRA,Brazil,203931,352.42,0.12,0.12
BRN,Brunei,434,255.18,0.65,0.65
BGR,Bulgaria,6938,175.53,4.62,4.62
BFA,Burkina Faso,20003,374.27,0,0
BDI,Burundi,11642,198.99,1.9,2.84
KHM,Cambodia,16004,287.41,0.16,0.16
CMR,Cameroon,24278,300.85,0.05,0.11
CAN,Canada,37171,280.22,1.13,1.13
CPV,Cape Verde,504,277.51,0.04,0.06
CAF,Central African Republic,4728,314.2,0.01,0.01
TCD,Chad,15756,208.46,19.63,19.63
CHL,Chile,18840,263.11,0.03,0.03
CHN,China,1406343,273.59,4.23,4.23
COL,Colombia,48792,169.63,5.21,5.21
COM,Comoros,756,232.46,0.73,0.73
COG,Congo - Brazzaville,5376,292.62,0.36,0.36
COD,Congo - Kinshasa,87795,126,21.88,21.88
CRI,Costa Rica,4913,230.87,1.12,1.12
HRV,Croatia,3968,264.72,0.57,0.57
CUB,Cuba,11104,310.17,0.75,0.75
CYP,Cyprus,1265,215.56,0.58,0.58
CZE,Czechia,10439,154.74,12,12
CIV,Côte d’Ivoire,26907,283.86,0.09,0.09
DNK,Denmark,5745,291.19,0.01,0.01
DJI,Djibouti,1057,340.76,0.12,0.17
DMA,Dominica,67,187.11,2.72,2.72
DOM,Dominican Republic,10631,254.41,0.94,0.94
ECU,Ecuador,16910,82.59,80.13,80.13
EGY,Egypt,104191,255.37,0.09,0.09
SLV,El Salvador,6120,269.64,0.79,0.79
GNQ,Equatorial Guinea,1593,224.27,1.06,1.51
ERI,Eritrea,3128,267.37,0.07,0.11
EST,Estonia,1310,229.56,1.58,1.58
SWZ,Eswatini,1145,135.3,15.18,30.54
ETH,Ethiopia,110537,295.67,0.08,0.3
FJI,Fiji,899,191.48,23.3,24.79
FIN,Finland,5471,262.88,1.7,1.7
FRA,France,64964,321.8,0,0
GAB,Gabon,2174,190.35,23.03,23.03
GMB,Gambia,2353,117.27,28.83,28.83
GEO,Georgia,3743,315.28,0.45,0.45
DEU,Germany,82695,293.43,0,0
GHA,Ghana,30106,304.71,0.01,0.01
GRC,Greece,10634,293.66,0,0
GRD,Grenada,114,164.24,31.9,32.29
GTM,Guatemala,16578,202.81,22.41,22.41
GIN,Guinea,12430,249.84,13.66,15.52
GNB,Guinea-Bissau,1885,122.28,22.96,42.39
GUY,Guyana,795,307.77,0.36,0.36
HTI,Haiti,10780,216.96,11.27,13.59
HND,Honduras,9629,219.23,19.7,19.7
HUN,Hungary,9679,182.97,24.87,24.87
ISL,Iceland,353,311.78,0,0
IND,India,1358101,183.61,1.91,5.6
IDN,Indonesia,266686,306.23,0.08,0.08
IRN,Iran,85202,224.54,7.51,10.76
IRQ,Iraq,39650,251.89,0.6,0.6
IRL,Ireland,4843,255.71,0.32,0.32
ISR,Israel,8408,279.61,3.93,3.93
ITA,Italy,59785,299.69,0.03,0.03
JAM,Jamaica,2788,308.91,0.06,0.06
JPN,Japan,125913,209.02,1.48,1.48
JOR,Jordan,10346,263.39,0.4,0.4
KAZ,Kazakhstan,18657,342.18,0.01,0.01
KEN,Kenya,49286,188.66,23.46,28.54
KIR,Kiribati,120,259.9,0.52,0.53
KWT,Kuwait,4365,181.68,24.12,24.12
KGZ,Kyrgyzstan,6241,281.83,0.53,0.58
LAO,Laos,7020,476.78,0.03,0.04
LVA,Latvia,1901,245.66,1.65,1.65
LBN,Lebanon,5797,410.8,0.01,0.02
LSO,Lesotho,2140,193.52,0.75,1.48
LBR,Liberia,4838,224.48,0.51,0.51
LBY,Libya,6768,182.17,24.61,24.63
LTU,Lithuania,2767,295.65,0.36,0.36
LUX,Luxembourg,608,294.04,0,0
MDG,Madagascar,26962,96.83,58.81,67.08
MWI,Malawi,18176,313.09,0,0.02
MYS,Malaysia,32675,226.37,1.24,1.86
MDV,Maldives,474,313.77,0.13,0.18
MLI,Mali,19932,302.99,0.05,0.05
MLT,Malta,489,284.53,1.06,1.06
MHL,Marshall Islands,44,286.75,0.22,0.36
MRT,Mauritania,4248,261.92,0.02,0.02
MUS,Mauritius,1275,248.21,0.1,0.1
MEX,Mexico,123071,262.87,5.92,5.92
FSM,Micronesia (Federated States of),108,222.97,0.43,0.5
MDA,Moldova,3094,127.69,26.71,26.71
MNG,Mongolia,3126,335.49,0.13,0.13
MNE,Montenegro,606,440.21,0,0
MAR,Morocco,35374,293.96,3.28,3.89
MOZ,Mozambique,28350,191.07,23.25,24.91
MMR,Myanmar (Burma),51544,325.63,7.23,7.23
NAM,Namibia,2536,214.12,1.47,1.66
NPL,Nepal,27554,238.09,0.08,0.4
NLD,Netherlands,17302,301.16,0.03,0.03
NZL,New Zealand,4883,321.07,0.02,0.02
NIC,Nicaragua,6308,237.09,1.67,1.67
NER,Niger,21638,343.76,0.01,0.06
NGA,Nigeria,200330,199.11,21.3,22.59
MKD,North Macedonia,1888,306.62,0.01,0.01
NOR,Norway,5273,318.65,0.22,0.22
OMN,Oman,4528,266.89,0.04,0.04
PAK,Pakistan,222488,170.05,4.01,8.28
PSE,Palestinian Territories,4759,905.08,0,0
PAN,Panama,4126,273.45,0.74,0.74
PNG,Papua New Guinea,9256,216.37,1.52,1.52
PRY,Paraguay,6333,302.65,1.1,1.1
PER,Peru,31699,283.21,1.37,1.37
PHL,Philippines,107874,318.76,7.64,7.64
POL,Poland,37855,270.78,0.97,0.97
PRT,Portugal,10237,304.51,0.13,0.13
QAT,Qatar,2752,262.02,0.05,0.05
ROU,Romania,19349,282.15,0.56,0.56
RUS,Russia,144900,256.1,0.22,0.22
RWA,Rwanda,12256,261.89,11.54,15.53
WSM,Samoa,203,300.53,1,1.19
SAU,Saudi Arabia,29560,349.05,0,0
SEN,Senegal,15639,227.41,16.52,17.58
SRB,Serbia,6928,339.49,0.16,0.16
SYC,Seychelles,115,192,1.93,1.93
SLE,Sierra Leone,7405,299.03,0.01,0.01
SGP,Singapore,5611,287.89,0.29,0.34
SVK,Slovakia,5388,172.65,5.72,5.72
SVN,Slovenia,2057,220.87,2.06,2.06
SLB,Solomon Islands,700,293.9,0.88,0.88
ZAF,South Africa,57950,292.52,0,0
KOR,South Korea,51388,257.34,5.32,5.88
SSD,South Sudan,10007,241.46,0.54,0.88
ESP,Spain,46862,264.92,0.17,0.17
LKA,Sri Lanka,21998,219.39,17.33,20.83
LCA,St. Lucia,175,129.43,27.77,27.77
VCT,St. Vincent & Grenadines,103,267.07,0.08,0.08
SDN,Sudan,43422,264.88,0.04,0.07
SUR,Suriname,592,226.11,0.91,0.91
SWE,Sweden,10114,229.21,0.29,0.29
CHE,Switzerland,8460,206.26,0.81,0.81
SYR,Syria,19584,219.66,8.64,8.84
STP,São Tomé & Príncipe,206,190.39,22.99,23.14
TWN,Taiwan,23498,256.77,0.15,0.15
TJK,Tajikistan,9151,291.2,0.19,0.19
TZA,Tanzania,56218,184.88,0.82,2.53
THA,Thailand,70794,150.88,8.48,9.37
TLS,Timor-Leste,1255,381.15,0,0
TGO,Togo,8095,263.84,0.18,0.18
TON,Tonga,103,220.31,9.89,11.59
TTO,Trinidad & Tobago,1474,106.52,54.43,54.43
TUN,Tunisia,11620,295.52,0.07,0.07
TUR,Turkey,83603,261.7,0.21,0.21
TKM,Turkmenistan,6563,261.25,0.62,0.62
UGA,Uganda,40741,223.57,1.02,2.38
UKR,Ukraine,44714,184.08,2.77,2.77
ARE,United Arab Emirates,9297,225.85,1.23,1.23
GBR,United Kingdom,66201,217.24,1.11,1.11
USA,United States,332631,252.91,0.88,0.88
URY,Uruguay,3357,311.89,0.17,0.17
UZB,Uzbekistan,31893,347.54,0.44,0.44
VUT,Vanuatu,280,352.92,0.01,0.01
VEN,Venezuela,28801,204.44,3.63,3.63
VNM,Vietnam,95272,327.61,0.01,0.01
YEM,Yemen,33392,272.37,0.64,0.69
ZMB,Zambia,17625,234.55,0.32,0.32
ZWE,Zimbabwe,14694,185.23,1.11,1.75
