iso3,name,pop_thousands,group,mean_pct_high,mean_pct_low,mean_pct_medium,pct_inadequate_high,pct_inadequate_low,pct_inadequate_medium
,World,7575436,world,274.47,215.67,244.97,2.84,6.19,3.93
,East Asia & Pacific,2307038,region,310.9,239.38,274.74,2.27,5.97,3.61
,Europe & Central Asia,912942,region,315.9,234,269.5,0.5,2.24,1.06
,Latin America & Caribbean,624656,region,312.41,239.67,275.43,4.36,8.36,5.84
,Middle East & North Africa,460509,region,301.81,236.37,269.18,1.99,4.31,2.84
,North America,369802,region,307.84,221.82,255.65,0.25,2.23,0.91
,South Asia,1828298,region,199.94,165.15,185.42,1.22,5.11,2.2
,Sub-Saharan Africa,1072189,region,242.51,210.23,229.73,9.21,12.77,10.38
AFG,Afghanistan,35957,country,253.78,227.06,244.59,0.08,0.27,0.12
ALB,Albania,2861,country,268.56,206.53,237.53,0.59,3.37,1.39
DZA,Algeria,41899,country,320.36,247.98,284.79,0.04,0.42,0.13
AGO,Angola,30630,country,178.78,144.03,163.43,1.31,8.33,3.03
ATG,Antigua & Barbuda,90,country,283.99,212,244.78,0.11,1.46,0.43
ARG,Argentina,44152,country,320.1,239.02,275.97,0.06,0.81,0.23
ARM,Armenia,2871,country,407.96,317.26,363.95,0.01,0.09,0.02
AUS,Australia,25005,country,285.8,207.09,238.88,0.21,2.21,0.82
AUT,Austria,8776,country,263.93,190.58,219.73,0.04,1.32,0.31
AZE,Azerbaijan,9939,country,429.88,330.25,379.89,0,0.04,0.01
BHS,Bahamas,389,country,220.06,161.52,186.52,10.43,24.24,16.75
BHR,Bahrain,1472,country,352.69,255.31,294.47,0.19,1.39,0.6
BGD,Bangladesh,160973,country,208.34,173.99,194.46,0.46,2.45,0.9
BRB,Barbados,278,country,207.18,156.55,180.56,0.95,10.62,3.55
BLR,Belarus,9376,country,272.96,206.09,237.72,5.45,12.68,8.39
BEL,Belgium,11339,country,379.85,274.89,317.04,0,0.03,0
BLZ,Belize,375,country,252.57,201.15,229.16,0.61,3.5,1.35
BEN,Benin,12119,country,226.33,199.36,216.72,16.68,21.15,18.11
BTN,Bhutan,753,country,242.57,189.68,217.29,14,22.72,17.5
BOL,Bolivia,11338,country,206.26,162.63,185.87,21.89,32.97,26.39
BIH,Bosnia & Herzegovina,3338,country,293.25,225.72,259.55,0.09,1,0.3
BWA,Botswana,2258,country,365.66,280.29,322.56,0.03,0.37,0.11
BRA,Brazil,203931,country,399.05,306.32,352.42,0.04,0.41,0.12
BRN,Brunei,434,country,307.86,221.47,255.18,0.16,1.71,0.65
BGR,Bulgaria,6938,country,203.43,152.04,175.53,1.35,11.87,4.62
BFA,Burkina Faso,20003,country,386.53,349.96,374.27,0,0,0
BDI,Burundi,11642,country,201.8,192.44,198.99,1.72,2.41,1.9
KHM,Cambodia,16004,country,308.25,256.9,287.41,0.09,0.4,0.16
CMR,Cameroon,24278,country,317.84,272.9,300.85,0.03,0.12,0.05
CAN,Canada,37171,country,335.16,242.92,280.22,0.41,2.4,1.13
CPV,Cape Verde,504,country,302.86,244.93,277.51,0.01,0.14,0.04
CAF,Central African Republic,4728,country,319.05,303.01,314.2,0.01,0.01,0.01
TCD,Chad,15756,country,215.73,194.3,208.46,18.42,22.3,19.63
CHL,Chile,18840,country,305.73,227.86,263.11,0,0.14,0.03
CHN,China,1406343,country,310.69,237.65,273.59,2.69,6.81,4.23
COL,Colombia,48792,country,191.92,147.47,169.63,1.91,13.24,5.21
COM,Comoros,756,country,243.64,212.85,232.46,0.5,1.44,0.73
COG,Congo - Brazzaville,5376,country,313.77,261.61,292.62,0.27,0.58,0.36
COD,Congo - Kinshasa,87795,country,128.23,120.96,126,19.99,26.61,21.88
CRI,Costa Rica,4913,country,266.07,200.06,230.87,0.34,3.23,1.12
HRV,Croatia,3968,country,310,229.21,264.72,0.17,1.58,0.57
CUB,Cuba,11104,country,346.79,270.62,310.17,0.39,1.62,0.75
CYP,Cyprus,1265,country,255.73,186.73,215.56,0.1,2.06,0.58
CZE,Czechia,10439,country,183.82,134.05,154.74,4.34,22.79,12
CIV,Côte d’Ivoire,26907,country,302.63,255.1,283.86,0.05,0.23,0.09
DNK,Denmark,5745,country,349.88,252.57,291.19,0,0.06,0.01
DJI,Djibouti,1057,country,363.76,305.87,340.76,0.09,0.19,0.12
DMA,Dominica,67,country,211.57,162.7,187.11,0.83,8.25,2.72
DOM,Dominican Republic,10631,country,290.46,220.76,254.41,0.33,2.59,0.94
ECU,Ecuador,16910,country,92.29,72.07,82.59,70.57,87.61,80.13
EGY,Egypt,104191,country,285.55,222.79,255.37,0.02,0.38,0.09
SLV,El Salvador,6120,country,296.67,236.89,269.64,0.39,1.91,0.79
GNQ,Equatorial Guinea,1593,country,256.37,194.56,224.27,0.36,2.94,1.06
ERI,Eritrea,3128,country,273.94,253.4,267.37,0.05,0.12,0.07
EST,Estonia,1310,country,271.44,198.81,229.56,0.46,3.98,1.58
SWZ,Eswatini,1145,country,148.25,119.13,135.3,8.51,28.94,15.18
ETH,Ethiopia,110537,country,305.44,276.33,295.67,0.05,0.15,0.08
FJI,Fiji,899,country,214.73,166.89,191.48,18.78,29.65,23.3
FIN,Finland,5471,country,314.25,227.87,262.88,0.64,3.48,1.7
FRA,France,64964,country,383.85,278.88,321.8,0,0.03,0
GAB,Gabon,2174,country,215.51,165.45,190.35,18.27,29.41,23.03
GMB,Gambia,2353,country,121.44,109.2,117.27,24.31,39.17,28.83
GEO,Georgia,3743,country,356.43,274.15,315.28,0.17,1.21,0.45
DEU,Germany,82695,country,352.39,254.5,293.43,0,0.03,0
GHA,Ghana,30106,country,326.58,272.53,304.71,0,0.02,0.01
GRC,Greece,10634,country,343.9,254.27,293.66,0,0.02,0
GRD,Grenada,114,country,186.31,142.7,164.24,25.69,39.7,31.9
GTM,Guatemala,16578,country,224.1,177.81,202.81,18.57,28.29,22.41
GIN,Guinea,12430,country,260.55,230.28,249.84,12.56,16.04,13.66
GNB,Guinea-Bissau,1885,country,126.26,114.37,122.28,19.22,31.98,22.96
GUY,Guyana,795,country,344.33,268.46,307.77,0.15,0.97,0.36
HTI,Haiti,10780,country,227.19,198.88,216.96,9.78,14.57,11.27
HND,Honduras,9629,country,235.16,195.94,219.23,17.2,24.24,19.7
HUN,Hungary,9679,country,215.05,158.43,182.97,18.31,31.9,24.87
ISL,Iceland,353,country,374.61,270.43,311.78,0,0.01,0
IND,India,1358101,country,198.67,162.99,183.61,0.95,4.84,1.91
IDN,Indonesia,266686,country,340.88,267.61,306.23,0.03,0.24,0.08
IRN,Iran,85202,country,254.13,195.2,224.54,4.93,11.72,7.51
IRQ,Iraq,39650,country,281.28,219.86,251.89,0.35,1.27,0.6
IRL,Ireland,4843,country,310.85,222.21,255.71,0.06,1.01,0.32
ISR,Israel,8408,country,331.69,242.2,279.61,2.13,6.39,3.93
ITA,Italy,59785,country,356.58,259.66,299.69,0,0.15,0.03
JAM,Jamaica,2788,country,342.8,270.3,308.91,0.02,0.22,0.06
JPN,Japan,125913,country,248.42,181.08,209.02,0.36,4.1,1.48
JOR,Jordan,10346,country,289.52,231.52,263.39,0.23,0.9,0.4
KAZ,Kazakhstan,18657,country,397.45,296.34,342.18,0,0.04,0.01
KEN,Kenya,49286,country,200.12,170.4,188.66,21.09,27.99,23.46
KIR,Kiribati,120,country,270.47,240.24,259.9,0.37,0.96,0.52
KWT,Kuwait,4365,country,217.51,157.51,181.68,17.09,31,24.12
KGZ,Kyrgyzstan,6241,country,300,253.66,281.83,0.34,1.1,0.53
LAO,Laos,7020,country,518.8,421.59,476.78,0.02,0.05,0.03
LVA,Latvia,1901,country,287.7,212.7,245.66,0.57,3.88,1.65
LBN,Lebanon,5797,country,473.98,355.95,410.8,0,0.04,0.01
LSO,Lesotho,2140,country,201.29,179.01,193.52,0.48,1.7,0.75
LBR,Liberia,4838,country,230.97,211.18,224.48,0.39,0.86,0.51
LBY,Libya,6768,country,208.52,158.01,182.17,19.14,31.44,24.61
LTU,Lithuania,2767,country,349.33,256.04,295.65,0.12,0.9,0.36
LUX,Luxembourg,608,country,359.8,255.87,294.04,0,0.02,0
MDG,Madagascar,26962,country,99.27,91.66,96.83,54.32,68.35,58.81
MWI,Malawi,18176,country,320.16,297.82,313.09,0,0.01,0
MYS,Malaysia,32675,country,264.24,196.01,226.37,0.38,3.32,1.24
MDV,Maldives,474,country,361.96,271.88,313.77,0.06,0.31,0.13
MLI,Mali,19932,country,315.36,280.01,302.99,0.03,0.1,0.05
MLT,Malta,489,country,339.87,246.62,284.53,0.39,2.25,1.06
MHL,Marshall Islands,44,country,306.51,257.07,286.75,0.12,0.53,0.22
MRT,Mauritania,4248,country,280.45,234.45,261.92,0.01,0.08,0.02
MUS,Mauritius,1275,country,287.31,215.01,248.21,0.02,0.44,0.1
MEX,Mexico,123071,country,302.53,227.83,262.87,3.63,9.41,5.92
FSM,Micronesia (Federated States of),108,country,234.34,203.45,222.97,0.26,1.08,0.43
MDA,Moldova,3094,country,142.47,111.48,127.69,17.2,41.34,26.71
MNG,Mongolia,3126,country,375.12,292.7,335.49,0.07,0.31,0.13
MNE,Montenegro,606,country,506.82,381.52,440.21,0,0.01,0
MAR,Morocco,35374,country,320.57,259.58,293.96,2.39,5.05,3.28
MOZ,Mozambique,28350,country,195.27,181.94,191.07,22.38,25.31,23.25
MMR,Myanmar (Burma),51544,country,349.14,291.15,325.63,6.13,9.35,7.23
NAM,Namibia,2536,country,236.47,187.77,214.12,0.69,3.64,1.47
NPL,Nepal,27554,country,251.39,216.11,238.09,0.04,0.25,0.08
NLD,Netherlands,17302,country,362.18,261.25,301.16,0,0.13,0.03
NZL,New Zealand,4883,country,381.72,278.17,321.07,0,0.08,0.02
NIC,Nicaragua,6308,country,254.97,211.46,237.09,0.97,3.64,1.67
NER,Niger,21638,country,351.06,327.79,343.76,0.01,0.02,0.01
NGA,Nigeria,200330,country,216.15,176.33,199.11,18.28,26.42,21.3
MKD,North Macedonia,1888,country,350.56,266,306.62,0,0.07,0.01
NOR,Norway,5273,country,385.27,276.64,318.65,0.04,0.64,0.22
OMN,Oman,4528,country,315.81,231.15,266.89,0.01,0.2,0.04
PAK,Pakistan,222488,country,181.35,152.77,170.05,2.46,8.29,4.01
PSE,Palestinian Territories,4759,country,975.53,805.77,905.08,0,0,0
PAN,Panama,4126,country,321.48,236.77,273.45,0.22,1.98,0.74
PNG,Papua New Guinea,9256,country,228.35,196.5,216.37,1.01,3,1.52
PRY,Paraguay,6333,country,341.01,263.41,302.65,0.55,2.32,1.1
PER,Peru,31699,country,317.73,246.81,283.21,0.71,2.84,1.37
PHL,Philippines,107874,country,348.89,280.85,318.76,6.18,10.18,7.64
POL,Poland,37855,country,318.28,234.46,270.78,0.27,2.59,0.97
PRT,Portugal,10237,country,359.12,263.69,304.51,0.04,0.4,0.13
QAT,Qatar,2752,country,320.25,227.95,262.02,0.01,0.21,0.05
ROU,Romania,19349,country,330.21,244.3,282.15,0.17,1.49,0.56
RUS,Russia,144900,country,299.35,221.74,256.1,0.04,0.89,0.22
RWA,Rwanda,12256,country,270.65,244.6,261.89,10.74,13.37,11.54
WSM,Samoa,203,country,324.19,267.39,300.53,0.65,1.88,1
SAU,Saudi Arabia,29560,country,419.9,302.8,349.05,0,0,0
SEN,Senegal,15639,country,238.63,207.92,227.41,15.04,19.58,16.52
SRB,Serbia,6928,country,388.14,294.51,339.49,0.05,0.5,0.16
SYC,Seychelles,115,country,225.61,166.25,192,0.51,5.42,1.93
SLE,Sierra Leone,7405,country,311.07,276.56,299.03,0.01,0.03,0.01
SGP,Singapore,5611,country,351.46,250.39,287.89,0.06,0.79,0.29
SVK,Slovakia,5388,country,202.7,149.49,172.65,1.67,13.4,5.72
SVN,Slovenia,2057,country,261.59,191.3,220.87,0.65,4.89,2.06
SLB,Solomon Islands,700,country,305.18,272.53,293.9,0.71,1.34,0.88
ZAF,South Africa,57950,country,328.55,254.83,292.52,0,0.01,0
KOR,South Korea,51388,country,306.75,223.01,257.34,2.89,8.48,5.32
SSD,South Sudan,10007,country,247.75,228.26,241.46,0.44,0.84,0.54
ESP,Spain,46862,country,314.52,229.49,264.92,0.03,0.6,0.17
LKA,Sri Lanka,21998,country,247.23,190.93,219.39,13.57,22.66,17.33
LCA,St. Lucia,175,country,147.52,112.34,129.43,14.46,46.54,27.77
VCT,St. Vincent & Grenadines,103,country,301.55,232.3,267.07,0.02,0.4,0.08
SDN,Sudan,43422,country,280.37,239.77,264.88,0.02,0.12,0.04
SUR,Suriname,592,country,258.04,196.21,226.11,0.24,3.03,0.91
SWE,Sweden,10114,country,274.73,198.74,229.21,0.04,1.15,0.29
CHE,Switzerland,8460,country,249.42,179.07,206.26,0.1,2.9,0.81
SYR,Syria,19584,country,230.69,200.63,219.66,7.38,11.43,8.64
STP,São Tomé & Príncipe,206,country,200.99,172.84,190.39,20.82,27.26,22.99
TWN,Taiwan,23498,country,307.74,222.65,256.77,0.02,0.58,0.15
TJK,Tajikistan,9151,country,304.48,267.44,291.2,0.13,0.38,0.19
TZA,Tanzania,56218,country,192.53,170.73,184.88,0.52,1.85,0.82
THA,Thailand,70794,country,172.7,130.86,150.88,3.23,19.17,8.48
TLS,Timor-Leste,1255,country,400.75,347.64,381.15,0,0,0
TGO,Togo,8095,country,272.46,246.74,263.84,0.13,0.33,0.18
TON,Tonga,103,country,237.79,195.93,220.31,7.8,13.97,9.89
TTO,Trinidad & Tobago,1474,country,124.52,92.23,106.52,33.72,71.58,54.43
TUN,Tunisia,11620,country,329.71,258.03,295.52,0.02,0.23,0.07
TUR,Turkey,83603,country,305.91,226.6,261.7,0.05,0.73,0.21
TKM,Turkmenistan,6563,country,294.63,227.32,261.25,0.24,1.66,0.62
UGA,Uganda,40741,country,231.61,208.03,223.57,0.78,1.71,1.02
UKR,Ukraine,44714,country,206.05,160.54,184.08,1,7.75,2.77
ARE,United Arab Emirates,9297,country,273.8,196.17,225.85,0.3,3.1,1.23
GBR,United Kingdom,66201,country,259.3,188.28,217.24,0.26,3.13,1.11
USA,United States,332631,country,304.79,219.46,252.91,0.24,2.21,0.88
URY,Uruguay,3357,country,361.75,270.13,311.89,0.06,0.46,0.17
UZB,Uzbekistan,31893,country,379.82,306.47,347.54,0.26,0.89,0.44
VUT,Vanuatu,280,country,369.71,323.34,352.92,0,0.01,0.01
VEN,Venezuela,28801,country,228.78,178.32,204.44,1.69,8.23,3.63
VNM,Vietnam,95272,country,362.12,287.17,327.61,0,0.03,0.01
YEM,Yemen,33392,country,282.84,252.54,272.37,0.55,0.87,0.64
ZMB,Zambia,17625,country,246.29,214.26,234.55,0.2,0.73,0.32
ZWE,Zimbabwe,14694,country,195.65,168.05,185.23,0.61,2.89,1.11
